Nombre,Año de nacimiento,Óscar,Famoso por,Profesión
Ming Wen,1963,Nominado,"['Mulán', 'Agentes de S.H.I.E.L.D.', '2013–2020 • 136 episodios', '1994', '2001']","Reparto, Banda sonora"
Yinyan Wu,Desconocido,No tiene galardones ni nominaciones,"['Cruce de caminos', 'Wanjia denghuo', 'Yi jiang chun shui xiang dong liu', 'Wuya yu maque']",Reparto
Wo men fu fu zhi jian,Desconocido,No tiene galardones ni nominaciones,['Sin datos'],2011
Gugu Mbatha-Raw,1983,Nominado,"['Belle', 'Beyond the Lights', 'La verdad duele', 'La bella y la bestia']","Reparto, Producción, Banda sonora"
Alec Baldwin,1958,Nominado,"['Infiltrados', 'No es tan fácil', 'The Cooler', 'Glengarry Glen Ross: Éxito a cualquier precio']","Reparto, Producción, Música"
Willem Dafoe,1955,Nominado,"['Spider-Man', 'Van Gogh, a las puertas de la eternidad', 'The Florida Project', 'El faro']","Reparto, Producción, Guion"
Bruce Willis,1955,Ganó 2 premios Primetime Emmy,"['Jungla de cristal', 'Pulp Fiction', 'Luz de luna', '1985–1989 • 66 episodios', '1999']","Reparto, Producción, Guion"
Ethan Suplee,1976,Nominado,"['Titanes: Hicieron historia', 'John Q', 'El efecto mariposa', 'Persiguiendo a Amy']","Reparto, Guion, Banda sonora"
Cherry Jones,1956,Ganó 3 premios Primetime Emmy,"['El bosque (The Village)', 'Señales', 'La tormenta perfecta', ""Ocean's Twelve: Uno más entra en juego""]","Reparto, Banda sonora"
Bobby Cannavale,1970,Ganó 2 premios Primetime Emmy,"['The Station Agent (Vías cruzadas)', 'Ant-Man', 'Blue Jasmine', 'Parker']","Reparto, Guion, Producción"
Dallas Roberts,1970,Nominado,"['El tren de las 3:10', 'Dallas Buyers Club', 'En la cuerda floja', 'Infierno blanco']",Reparto
Alexander England,Desconocido,Nominado,"['Alien: Covenant', 'Dioses de Egipto', 'Paper Giants: Magazine Wars', '2013 • 2 episodios', 'Clyde Packer']",Reparto
Uli Latukefu,1983,No tiene galardones ni nominaciones,"['Young Rock', '2021–2023 • 31 episodios', '2022', 'Byamba', 'Cole']",Reparto
Richard Te Are,Desconocido,Nominado,"['In Dark Places', '2018', '2019', '2022', 'Jarod']",Reparto
Luke Bracey,1989,Nominado,"['Point Break (Sin límites)', 'G.I. Joe: La venganza', 'Lo mejor de mí', 'La conspiración de noviembre']","Reparto, Producción"
Sean McCarthy,Desconocido,Nominado,"['Person of Interest', '2011–2013 • 3 episodios', '2010']","Reparto, Composición"
Mojean Aria,Desconocido,Nominado,"['El protector', 'Shayda', 'Reminiscencia', 'See', '2019 • 4 episodios']","Reparto, Producción, Guion"
Ryan Hance,Desconocido,Nominado,"['Danger Close: La batalla de Long Tan', 'Toxikarma', 'CIA: Crime Investigation Australia', '2022 • 2 episodios', '2019']","Reparto, Dirección, Guion"
Alison Sudol,1984,No tiene galardones ni nominaciones,"['Animales fantásticos y dónde encontrarlos', 'Animales fantásticos: Los crímenes de Grindelwald', 'Animales fantásticos: Los secretos de Dumbledore', 'Qué esperar cuando estás esperando']","Reparto, Guion, Composición"
Asher Miles Fallica,Desconocido,Nominado,"['Tully', 'FBI: International', '2022 • 4 episodios', '2019', 'Young Jonah(as Asher Fallica)']",Reparto
LisaGay Hamilton,1964,Nominado,"['El abogado', '1997–2003 • 145 episodios', '1997', '1999', '2002']","Reparto, Dirección, Producción"
Bradley Whitford,1959,Ganó 3 premios Primetime Emmy,"['Déjame salir', 'El ala oeste de la Casa Blanca', '1999–2006 • 155 episodios', '2013', '2011']","Reparto, Producción, Guion"
William Hurt,1950,Ganó 1 premio Óscar,"['Una historia de violencia', 'Perdidos en el espacio', 'Al filo de la noticia', 'Un viaje alucinante al fondo de la mente']","Reparto, Producción"
Linus Roache,1964,Nominado,"['Mandy', 'Las crónicas de Riddick', 'Non-Stop (Sin escalas)', 'Batman Begins']","Reparto, Composición, Banda sonora"
Jeremy Irvine,1990,Nominado,"['War Horse (Caballo de batalla)', 'Mamma Mia! Una y otra vez', 'Un largo viaje', 'Treadstone', '2019 • 10 episodios']","Reparto, Banda sonora"
Eoin O'Brien,Desconocido,Nominado,"['The Creator', 'Kiss of the Con Queen', 'Max', 'Vídeo']","Reparto, Guion, Dirección"
Christopher Plummer,1929,Ganó 1 premio Óscar,"['Beginners (Principiantes)', 'El dilema (The Insider)', 'Remember', 'Todo el dinero del mundo']","Reparto, Producción, Música"
Iwan Rheon,1985,Nominado,"['Juego de tronos', '2013–2016 • 20 episodios', 'Simon Bellamy', 'Mick Mars', 'Dempsey']","Reparto, Producción, Banda sonora"
Colson Baker,1990,Nominado,"['The Dirt', 'Good Mourning', 'Proyecto Power', 'Downfalls High']","Reparto, Composición, Dirección"
Aaron Jay Rome,1985,Nominado,"['Love & Death', '2023 • 4 episodios', 'Will', 'Frankie Avalon', 'Brandon']","Reparto, Dirección, Guion"
Alyssa Marie Stilwell,Desconocido,No tiene galardones ni nominaciones,"['The Dirt', 'The Marks', 'Inseparables', '2023 • 1 episodio']","Reparto, Cámara y electricidad"
Brittany Furlan,1986,Nominado,"['We Are Your Friends', 'The Dirt', 'Random Tropical Paradise', 'Drugstore June']","Reparto, Vestuario"
Matthew Underwood,1990,Nominado,"['Zoey 101', '2005–2008 • 60 episodios', '2009', '2019', 'HideTimid Kid(voz)']","Reparto, Dirección, Guion"
Garrett Hedlund,1984,Nominado,"['Tron: Legacy', 'Mudbound', 'En el camino', 'Cuatro hermanos']","Reparto, Producción, Banda sonora"
Badger,Desconocido,Nominado,"['El hombre lobo', 'Nunca me abandones', 'Destino de caballero', 'Radio encubierta']",Reparto
Jacob Clayton,Desconocido,Nominado,"['Dirt Music', 'Before Dawn', 'Trunk Travelers']",Reparto
Kohen Mills,Desconocido,No tiene galardones ni nominaciones,['Dirt Music'],Reparto
David Wenham,1965,Nominado,"['El señor de los anillos: El retorno del rey', 'El señor de los anillos: Las dos torres', '300', 'Van Helsing']","Reparto, Producción, Dirección"
Fern Nicholson,2020,Nominado,"['Potato Peelers', 'Dirt Music', 'Itch', '2020 • 6 episodios', 'Principal Carter']","Reparto, Producción"
Aaron Pedersen,1970,Nominado,"['Mystery Road', 'Goldstone', 'Mystery Road', '2018–2020 • 12 episodios', '2006']","Reparto, Producción, Equipos adicionales"
George Mason,Desconocido,Nominado,"['El poder del perro', 'Dirt Music', 'Daffodils']",Reparto
Erik LaRay Harvey,Desconocido,Nominado,"['Luke Cage', '2016 • 7 episodios', '1996', 'Dunn Purnsley', 'Bartley']",Reparto
Ian McShane,1942,Nominado,"['Deadwood', '2004–2006 • 36 episodios', '2011', '2012', '2008']","Reparto, Producción, Dirección"
Michael Rooker,1955,Nominado,"['Guardianes de la Galaxia', 'Henry: Retrato de un asesino', 'Guardianes de la Galaxia Vol. 2', 'Slither: La plaga']","Reparto, Producción, Dirección"
Yaya DaCosta,1982,Nominado,"['El mayordomo', 'Déjate llevar', 'Los chicos están bien', 'In Time']","Reparto, Producción"
Reno Wilson,enero,Nominado,"['Mike y Molly', '2010–2016 • 127 episodios', 'Stan Hill']","Reparto, Producción, Banda sonora"
Robert Ri'chard,1983,Nominado,"['Coach Carter', 'La casa de cera', 'One on One', '2001–2006 • 113 episodios', '2007']","Reparto, Producción"
Karimah Westbrook,octubre,Nominado,"['All American', '2018–2024 • 84 episodios', '2017', '2011', '2008']","Reparto, Producción, Dirección"
JoNell Kennedy,Desconocido,No tiene galardones ni nominaciones,"['Dreamgirls', 'Adivina quién', 'Collateral', 'Tú, yo y todos los demás']","Reparto, Producción, Guion"
Kearia Schroeder,Desconocido,No tiene galardones ni nominaciones,"['Dance for Me', 'Not Another Church Movie', 'Dear Frank', 'Running Out Of Time']",Reparto
Lee Lopez,Desconocido,Nominado,"['Online Mating', 'Prisoner Copycat', 'Hudson', 'Hero']","Reparto, Dirección de la segunda unidad o asistencia a dirección, Especialistas"
Fernanda Padron Olivas,Desconocido,Nominado,['Kissing Carmen'],Reparto
Ness Suarez,Desconocido,Nominado,['Kissing Carmen'],Reparto
Fabio del Greco,Desconocido,No tiene galardones ni nominaciones,"[""Employee's Mystery"", 'La donna dello smartphone', 'Slow life', 'Corona Days']","Guion, Dirección, Reparto"
Chiara Pavoni,Desconocido,No tiene galardones ni nominaciones,"['Josh Jasmer', 'Orgoglio e sensualità', 'Il sentiero', 'La nostalgia']","Reparto, Dirección de casting"
Roberto Pensa,Desconocido,No tiene galardones ni nominaciones,"[""Il Cristo di Gamala: la vera storia dell'uomo chiamato Gesù"", '7,8', '5,3', '9,1']",Reparto
Mistero di un Impiegato,Desconocido,No tiene galardones ni nominaciones,['Sin datos'],2019
Celik Kayalar,Desconocido,Nominado,"['Moonlight Sonata', 'Unmasked', 'Valentin Popov Face', 'Imagine - 1619']","Reparto, Dirección, Guion"
Thomas McCormick,1963,No tiene galardones ni nominaciones,"['Trainspotting', 'Soldado de fortuna', 'Robin Hood: Príncipe de los ladrones', 'The Jackal (Chacal)']","Especialistas, Dirección de la segunda unidad o asistencia a dirección, Reparto"
Josh Haddad,Desconocido,Nominado,"['Where Were You', '2019']",Reparto
John Campeau,Desconocido,Nominado,['Sin datos'],Sin datos
Eric Falter,Desconocido,Nominado,"['Where Were You', '2019']",Reparto
Greg Genatossio,Desconocido,Nominado,"['Where Were You', '2019']",Reparto
Amy Thomason,Desconocido,Nominado,"['Life of an Actress: The Musical', 'Amityville: The People of New York vs Ronald J DeFeo Jr.', '2022', 'Lorelai', 'Dr. Benson']","Reparto, Vestuario"
Solange Elkallassi,Desconocido,Nominado,"['Where Were You', '2019', '2016']",Reparto
Jeffrey Roach,Desconocido,Nominado,"['Where Were You', '2019']",Reparto
Katelyn Kapocsi,Desconocido,No tiene galardones ni nominaciones,"['Indigo Valley', 'The Delta Girl', '2018', 'Tamara (The Assistant)', 'Val']",Reparto
Elena Nicorici,Desconocido,Nominado,"['A House Divided', 'From the Ocean', 'Corto', 'Mom']",Reparto
Austin Ramey,Desconocido,Nominado,['Our Ukrainian Sky'],Producción
Okay,1991,Nominado,"['Una historia de Brooklyn', 'Pasando página', 'Sinners of Kings Highway', 'Fowl Play', '2013']","Reparto, Dirección, Guion"
Sushma Karki,Desconocido,Nominado,"['Mero Euta Saathi Cha', 'K Yo Maya Ho', 'Batch No.16', 'Romeo & Muna']",Reparto
Mark Strong,1963,Nominado,"['1917', '¡Shazam!', 'Kingsman: Servicio secreto', 'La noche más oscura']","Reparto, Producción"
Asher Angel,2002,Nominado,"['¡Shazam!', 'Andi Mack', '2017–2019 • 57 episodios', '2023']","Reparto, Banda sonora, Producción"
Jack Dylan Grazer,2003,Nominado,"['It', '¡Shazam!', 'Luca', 'It: Capítulo 2']","Reparto, Producción, Banda sonora"
Adam Brody,1979,Nominado,"['The O.C.', '2003–2007 • 92 episodios', '2019', '2005', '2007']","Reparto, Producción, Guion"
Djimon Hounsou,1964,Nominado,"['Diamante de sangre', 'Guardianes de la Galaxia', 'En América', 'Amistad']","Reparto, Producción, Dirección"
Faithe Herman,2007,Nominado,"['¡Shazam!', 'This Is Us', '2016–2022 • 101 episodios', '2023', '2019']",Reparto
Meagan Good,1981,Nominado,"['En qué piensan los hombres', 'Brick', 'La semilla del mal', 'D.E.B.S. - espías en acción']","Reparto, Producción, Dirección"
Grace Caroline Currey,1996,Nominado,"['Fall', '¡Shazam!', 'Annabelle: Creation', '¡Shazam! La furia de los dioses']","Reparto, Dirección, Producción"
Michelle Borth,agosto,No tiene galardones ni nominaciones,"['¡Shazam!', 'Hawai 5.0', '2010–2020 • 60 episodios', '2016', '2011']","Reparto, Dirección, Producción"
Edith Posca,Desconocido,No tiene galardones ni nominaciones,"['Das Achtgroschenmädel, Teil 1', '6,9', 'Reparto', 'Komtesse']",Reparto
Johannes Riemann,1888,Nominado,"['Ave maría', 'Me caso con mi mujer', 'The Attache', '1936']","Reparto, Dirección, Guion"
Fritz Schulz,1896,No tiene galardones ni nominaciones,"['Ende schlecht, alles gut', 'Kaczmarek', 'Kaczmarek', '1936']","Reparto, Dirección, Composición"
Albert Patry,Desconocido,No tiene galardones ni nominaciones,"['Die Pantherbraut', 'Reparto', '1920']",Reparto
Eduard Rothauser,Desconocido,No tiene galardones ni nominaciones,"['Er selbst sein Gott', 'Detektiv Fred Horst', 'Rudloff, Juwellier', '1914']","Reparto, Dirección, Guion"
Bernhard Goetzke,1884,No tiene galardones ni nominaciones,"['Salamandra', 'El doctor Mabuse', 'Los nibelungos - 1ª parte: La muerte de Sigfredo', 'Miguel Strogoff o El correo del zar']",Reparto
Rudolf Klein-Rhoden,Desconocido,No tiene galardones ni nominaciones,"['Die Welt des Scheines', 'Reparto', '1920']","Reparto, Dirección, Producción"
Paul Biensfeldt,Desconocido,No tiene galardones ni nominaciones,"['Das schwarze Los', '7,3', '6,2', '6,0']",Reparto
Emilie Kurz,Desconocido,No tiene galardones ni nominaciones,"['El último', 'Die Tochter des Mehemed', 'Mrs. Spiess', 'Reparto']",Reparto
Tötet nicht mehr,Desconocido,No tiene galardones ni nominaciones,['Sin datos'],2019
Christoph Waltz,1956,Ganó 2 premios Óscar,"['Django desencadenado', 'Malditos bastardos', 'Teorema Zero', 'Un dios salvaje']","Reparto, Producción, Dirección"
Jennifer Connelly,1970,Ganó 1 premio Óscar,"['Una mente maravillosa', 'Casa de arena y niebla', 'Hulk', 'Réquiem por un sueño']","Reparto, Producción"
Mahershala Ali,1974,Ganó 2 premios Óscar,"['Dejar el mundo atrás', 'El canto del cisne', 'Green Book', 'Moonlight']","Reparto, Producción"
Ed Skrein,1983,Nominado,"['Deadpool', 'Transporter Legacy', 'Rebel Moon - Parte 1: La niña del fuego', 'Midway']","Reparto, Dirección, Guion"
Jackie Earle Haley,1961,Nominado,"['Juegos secretos', 'Watchmen', 'Pesadilla en Elm Street. El origen', 'Shutter Island']","Reparto, Dirección, Guion"
Keean Johnson,1996,Nominado,"['Alita: Ángel de combate', 'Midway', 'Spooksville', '2013–2014 • 22 episodios', 'Colt Wheeler']","Reparto, Banda sonora"
Jorge Lendeborg Jr.,Desconocido,No tiene galardones ni nominaciones,"['Bumblebee', 'Spider-Man: Homecoming', 'Fauces de la noche', 'Con amor, Simon']","Reparto, Banda sonora"
Lana Condor,1997,Nominado,"['A todos los chicos de los que me enamoré', 'X-Men: Apocalipsis', 'A todos los chicos: Para siempre', 'A todos los chicos 2: P.D. Todavía te quiero']","Reparto, Producción, Banda sonora"
Errol Parker II,Desconocido,Nominado,"['Pick Me Up!', 'Skillet', 'Countdown']","Guion, Reparto, Producción"
Skillet,Desconocido,Nominado,"['La cabaña', 'Encuentros paranormales 2', 'WWE SmackDown vs. RAW 2010', '2009', 'Banda sonora(""Legendary"", ""Rise"")']","Music Artist, Reparto, Música"
Jae Greene,Desconocido,No tiene galardones ni nominaciones,"['Plan de escape 2: Hades', 'Guardianes de la Galaxia Vol. 2', 'Bounty Chasers', 'Here Comes Santa Claus: A Comedic Action Short']","Especialistas, Reparto, Producción"
Anthony Hoang,Desconocido,No tiene galardones ni nominaciones,"['Free Guy', 'Spenser: Confidencial', 'Madame Web', 'R.I.P.D. Departamento de policía mortal']","Especialistas, Reparto, Efectos especiales"
Les Price,Desconocido,No tiene galardones ni nominaciones,"['Garra', 'Ejército de los muertos', 'The Boog', 'Free Meek', '2019 • 5 episodios']","Especialistas, Reparto"
Omar Zaki,Desconocido,No tiene galardones ni nominaciones,"['Los Fabelman', 'The Dropoff', 'La lista final', '2022 • 2 episodios', '2023']","Especialistas, Reparto, Edición"
Austin Nguyen,Desconocido,Nominado,"['Perverse Disorder', 'Crosstown Story', '7,7', 'Cámara y electricidad']","Reparto, Cámara y electricidad, Composición"
Perviz Ismayilov,Desconocido,No tiene galardones ni nominaciones,['Aporia'],Reparto
Rahim Gojayev,Desconocido,Nominado,"['Aporia', 'Niye? 2']",Reparto
Lala Mammad,Desconocido,Nominado,['Aporia'],Reparto
Mubariz Samadov,Desconocido,Nominado,"['Aporia', 'Niye 3?', 'Corto']",Reparto
Mehdi Aliyev,Desconocido,Nominado,"['Kendistan 2', 'Unfriended']",Reparto
Nicat Memmedov,Desconocido,Nominado,"['Hareket Sekiz', 'Aporia']","Reparto, Maquillaje, Dirección de producción"
Taleh Memmedov,Desconocido,Nominado,['Aporia'],Reparto
Julià Márquez,Desconocido,Nominado,"['In Our Blood - Sin Límite, Marc Márquez', 'MotoGP Unlimited', '2022 • 1 episodio', 'Padre de MarcSelf - Padre de Marc']",Reparto
"In Our Blood - Sin Límite, Marc Márquez",Desconocido,No tiene galardones ni nominaciones,['Sin datos'],2019
Shirin Adams,Desconocido,Nominado,"['On April 8th, I Lost My Mind', ""Commercial Block '84"", 'Dungeons & Drag Queens: Quest for the Golden Wig of Enlightenment']","Vestuario, Decoración, Reparto"
Victoria Li,1986,Nominado,"['Nick y Nora, una noche de música y amor', 'Thor', 'Thor: El mundo oscuro', 'Charlie Bartlett']","Reparto, Producción, Banda sonora"
CaraMel Flava,Desconocido,Nominado,"['Dungeons & Drag Queens: Quest for the Golden Wig of Enlightenment', 'The Sweet Spot with Candi Shell', 'Lonesome']",Reparto
Louis Lujan,Desconocido,Nominado,"['Claw', '1997', '2019']",Reparto
Aaron Christopher Veraque-Walker,Desconocido,Nominado,['Dungeons & Drag Queens: Quest for the Golden Wig of Enlightenment'],Reparto
Gdolce,Desconocido,Nominado,"['The Sweet Spot with Candi Shell', 'Dungeons & Drag Queens: Quest for the Golden Wig of Enlightenment', 'Shaka & Shine: Aloha with Pride']",Reparto
Souraj Dutta,Desconocido,Nominado,"['On April 8th, I Lost My Mind', 'Dungeons & Drag Queens: Quest for the Golden Wig of Enlightenment']","Sonido, Reparto"
Eva María Fajas,Desconocido,Nominado,"['El Barber', 'La Por Sostinguda']",Reparto
Júlia Buxó,Desconocido,Nominado,['El Barber'],Reparto
Lola García,Desconocido,No tiene galardones ni nominaciones,['Rosy el huracán'],Reparto
Roberto S. Ruiz,Desconocido,Nominado,['El Barber'],Reparto
Jose Dolz,Desconocido,No tiene galardones ni nominaciones,"['Ayúdame a recordar', '2012', '2008', '2008', '2019']",Reparto
Joe Di Prima,Desconocido,Nominado,"['Innsmouth x', '2019']",Reparto
Mark Haggett,Desconocido,Nominado,"['Summer', 'Mercy', '2022', '2020', '2023']","Reparto, Dirección, Guion"
James Malcolm,Desconocido,No tiene galardones ni nominaciones,"['Invasión secreta', '2023 • 1 episodio', 'Train passenger', '2020', '2021']",Reparto
Holly Schafe,Desconocido,Nominado,"['Innsmouth x', '2019']",Reparto
Cashmir Khawaja,Desconocido,No tiene galardones ni nominaciones,"['Wages of Sin: Lust', 'Rumspringa Prelude', '2019', '2018', '2018']",Reparto
Destiny Marie,Desconocido,Nominado,"['Shotgun Honey', 'Who Let the Taxidermy Out?']",Reparto
Kyrie Mcalpin,Desconocido,Nominado,"['Blackjack Christmas', 'Doce en casa', 'Doug, un robot extraordinario', '2020–2022 • 26 episodios', 'Grace']",Reparto
Titouan Annabi,Desconocido,Nominado,"['Passage', 'Je suis une échappée']",Reparto
Céline Berti,Desconocido,No tiene galardones ni nominaciones,"['Robin Hood: Forajido, héroe, leyenda', 'Girls Feels: Into the Blue', 'Nakoma', 'Camille']","Reparto, Localización, Equipos adicionales"
Anouchka Csernakova,Desconocido,Nominado,"['Ego-Light', 'Basada en hechos reales', 'El arte del crimen', '2017 • 1 episodio', '2020']",Reparto
Cristian Motiu,Desconocido,No tiene galardones ni nominaciones,"['The Last Enemy', '2008 • 1 episodio', '2008', 'Metternich', 'CIA #1']",Reparto
Alexandru Surdu,Desconocido,Nominado,"['Expedición X', '2024 • 1 episodio']",Equipos adicionales
