ID,Nombre,Tipo,Director,Guionista1,Guionista2,Duración,Puntuación,Argumento
tt0918940,The Legend of Tarzan,Movie,David Yates,Adam Cozad,Craig Brewer,1h 50min,6.2,"Tarzán, tras acostumbrarse a vivir en Londres, regresa a su hogar en la jungla para investigar las actividades mineras en la zona."
tt0932667,The Man in the Silo,Movie,Phil Donlon,Phil Donlon,No especificado,55min,5.1,"Un hombre de negocios afroamericano exitoso se despierta para encontrarse en un silo de grano en ruinas, debe volver a conectar los puntos de su memoria traumatizada para descubrir la verdad de cómo terminó allí."
tt0995868,Pelé: Birth of a Legend,Movie,Jeff Zimbalist,Jeff Zimbalist,Michael Zimbalist,1h 47min,7.1,El meteórico ascenso de Pelé desde los suburbios de Sao Paulo hasta llevar a Brasil a su primera victoria en la Copa del Mundo a la edad de 17 años.
tt0357159,The Sexlife of a Chair,Short,Phil Mulloy,No especificado,No especificado,No especificado,No especificado,No especificado
tt0359111,Cowboys: Outrage!,Short,Phil Mulloy,No especificado,No especificado,No especificado,No especificado,No especificado
tt0359113,Cowboys: That's Nothin',Short,Phil Mulloy,No especificado,No especificado,No especificado,No especificado,No especificado
tt0359114,Cowboys: The Conformist,Short,Phil Mulloy,No especificado,No especificado,No especificado,No especificado,No especificado
tt0373361,The Ten Commandments Number 5: Thou Shalt Not Kill,Short,Phil Mulloy,No especificado,No especificado,No especificado,No especificado,No especificado
tt0422842,Nonkina tosan Yamazaki kaido,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt0461165,Career Day,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt0765453,Have You Seen Me?,Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt0821486,Manhattan Minutiae,Movie,Steve Becker,No especificado,No especificado,No especificado,No especificado,No especificado
tt0825283,Maximum Ride,Movie,Jay Martin,James Patterson,Angelique Hanus,1h 28min,3.6,Una bandada de niños alados monta un plan de rescate cuando los niños-lobos secuestran a su miembro más joven y la devuelven a la institución militarizada que los creó a todos.
tt0837156,Pee-wee's Big Holiday,Movie,John Lee,Paul Reubens,Paul Rust,1h 30min,6.1,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.
tt0906327,The Unlikely's,Movie,Nick G. Miller,Nick G. Miller,David Michael Ross,No especificado,6.5,Could the worst movie script ever written be the key to getting a down on his luck director back in the game?
tt0364201,Aman Ke Farishtey,Movie,Kader Kashmiri,No especificado,No especificado,No especificado,No especificado,No especificado
tt0775440,Cell,Movie,Tod Williams,Stephen King,Adam Alleca,1h 38min,4.4,"Cuando una misteriosa señal de teléfono celular provoca un caos apocalíptico, un artista está decidido a reunirse con su pequeño hijo en Nueva Inglaterra."
tt0803096,Warcraft,Movie,Duncan Jones,Charles Leavitt,Duncan Jones,2h 3min,6.7,"Mientras una horda de orcos invade el planeta Azeroth utilizando un portal mágico, unos pocos héroes humanos y orcos disidentes deben intentar detener al verdadero mal que hay detrás de esta guerra."
tt0848554,Travis,Movie,David Blair,David Blair,Adam Pitman,1h 38min,3.7,"One year after seven local students are inexplicably murdered at a lake house party near the Canadian border, recent high school grads Travis and his buddy Nate plan a celebratory road trip to Canada. While cutting through the woods at night, the two friends are savagely attacked by mysterious creatures and Nate is dragged off leaving Travis- to run for help. After Tr... Leer todo"
tt10008924,The Bystander,Short,EJ Levy,No especificado,No especificado,No especificado,No especificado,No especificado
tt10069270,Dagudu Muthalu,Short,Deepak Reddy,No especificado,No especificado,No especificado,No especificado,No especificado
tt10079626,"Anyone, Anywhere",Short,Frank Sanders,No especificado,No especificado,No especificado,No especificado,No especificado
tt10094370,Jinglehiemer's Candy Factory,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10115340,Amacabra - The Metempsychosis of Justine S.,Movie,Cosmotropia de Xam,Rachel Audrey,No especificado,No especificado,No especificado,
tt10129796,Hitori Kakruenbo,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10133748,Hitori Kakurenbo,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10132992,Out All Night Chapter 7: The Replacement Driver,Short,Jamaal Green,Jamaal Green,Jeff Stewart,25min,No especificado,Distressed Driver Alex has a meltdown after losing his license.
tt10152638,L'amorte,Short,Paolo Porchi,Andrea Borgomaneri,Antonio Giusto,No especificado,No especificado,
tt10170038,Trivikraman,Movie,Kranthi Kumar,Ravi Babu,Chalaki Chanti,1h 46min,5.7,"Trivikraman is a Telugu movie released on 10 December, 2016. The movie is directed by Kranthi Kumar C.H. and featured Ravi Babu and Gehna Vashisht as lead characters."
tt10182282,Speculo,Short,Fansu Njie,No especificado,No especificado,No especificado,No especificado,No especificado
tt10177034,Bella,Short,Johnny Hough,No especificado,No especificado,No especificado,No especificado,No especificado
tt10189756,Trapped,Short,Gln,No especificado,No especificado,No especificado,No especificado,No especificado
tt10207660,Beyond the Wall of Fear,Movie,Joe Sherlock,No especificado,No especificado,No especificado,No especificado,No especificado
tt10229916,House Sitting,Short,Aaron Mak,No especificado,No especificado,No especificado,No especificado,No especificado
tt10236434,Ling Hun Zhi Zha Dian,Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10036220,The Hardy Boys: Dead Man's Cave,Short,Jon Cullen,Mildred Wirt Benson,Jon Cullen,20min,No especificado,Frank and Joe Hardy help Nancy Drew locate her missing brother.
tt10039628,The Hardy Boys: End of the Line,Short,Jon Cullen,Mildred Wirt Benson,Edward Stratemeyer,30min,No especificado,"Nancy Drew's uncle asks Frank and Joe Hardy to investigate a break-in, leading to clues about the disappearance of Nancy's aunt."
tt10061690,When the Phantom Strikes,Short,Jay Galloway,No especificado,No especificado,No especificado,No especificado,No especificado
tt10101362,Red Seed,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10106344,Red Seed,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10128650,The Girl of My Newfound Friend,Short,Corbin Gregory,No especificado,No especificado,No especificado,No especificado,No especificado
tt10152110,Quac - Quando un'anatra compare,Short,Gino Palummo,No especificado,No especificado,No especificado,No especificado,No especificado
tt10167418,Rouge comme le sang,Movie,Adrian Ollé-Laprune,Odile Lescas,No especificado,1h 52min,No especificado,
tt10002588,The Story,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10009472,Below the Storm,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10015728,The White Cat,Short,Izik Alequin,No especificado,No especificado,No especificado,No especificado,No especificado
tt0087963,Quan jia fu,Movie,Dean Shek,Helen Chan,Olivia Cheng,1h 37min,6.6,"To get their parents back together, two clever siblings team up with their grandpa in a series of mischievous antics."
tt0100275,La telenovela errante,Movie,Raúl Ruiz,Pía Rey,No especificado,1h 20min,6.5,"The film revolves around the concept of soap opera. Its structure is based on the assumption that Chilean reality does not exist, but rather is an ensemble of soap operas."
tt0137204,Joe Finds Grace,Movie,Anthony Harrison,No especificado,No especificado,No especificado,No especificado,No especificado
tt0269768,Reading Between the Lines,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt0460890,The Only Living Boy in New York,Movie,Marc Webb,No especificado,No especificado,No especificado,No especificado,No especificado
tt0491203,Tulip Fever,Movie,Justin Chadwick,Deborah Moggach,Tom Stoppard,1h 45min,6.2,Un artista se enamora de una joven mujer casada mientras se le encarga pintar su retrato durante la manía tulipán del siglo XVII en Ámsterdam.
tt0491175,Suburbicon,Movie,George Clooney,Joel Coen,Ethan Coen,1h 45min,5.8,"Mientras una comunidad suburbana de los años 50 se autodestruye, un allanamiento de morada tiene siniestras consecuencias para una familia aparentemente normal."
tt0498381,Rings,Movie,F. Javier Gutiérrez,David Loucka,Jacob Estes,1h 42min,4.5,Una joven se encuentra en el extremo receptor de una terrible maldición que amenaza con acabar con su vida en 7 días.
tt0825334,Caravaggio and My Mother the Pope,Movie,Gladys Florence,No especificado,No especificado,No especificado,No especificado,No especificado
tt0835802,Krystal,Movie,William H. Macy,No especificado,No especificado,No especificado,No especificado,No especificado
tt0874268,The Dot Man,Movie,Bruno Coppola,No especificado,No especificado,No especificado,No especificado,No especificado
tt0331314,Bunyan and Babe,Movie,Louis Ross,Michael A. Nickles,Julia Wall,1h 24min,4.8,"Travis and Whitney visit their grandparents and stumble upon the evil plan of a greedy land developer. Travis falls through a magical portal which transports him to the world of American hero, Paul Bunyan and his pet ox, Babe."
tt0493405,CHIPS,Movie,Dax Shepard,Rick Rosner,Dax Shepard,1h 40min,6.0,"Un agente novato forma equipo con un curtido profesional de la Patrulla de Carreteras de California, pero pronto se entera de que en realidad es un federal encubierto que investiga un atraco en el que podrían estar implicados policías."
tt0937225,Joe Dick,Movie,Greg Lindsay,No especificado,No especificado,No especificado,No especificado,No especificado
tt0451279,Wonder Woman,Movie,Patty Jenkins,Allan Heinberg,Zack Snyder,2h 21min,7.3,"Cuando un piloto se estrella y habla de un conflicto en el mundo exterior, Diana, una guerrera amazona en formación, deja su hogar para luchar en la guerra, descubriendo sus plenos poderes y su verdadero destino."
tt0974015,Justice League,Movie,Zack Snyder,Jerry Siegel,Joe Shuster,No especificado,6.1,"Impulsado por su restaurada fe en la humanidad e inspirado por el acto desinteresado de Superman, Bruce Wayne consigue la ayuda de su recién encontrada aliada, Diana Prince, para enfrentarse a un enemigo aún mayor."
tt10010820,Green Brothers,Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10015186,Red Wrath,Short,Wayne Wilde,No especificado,No especificado,No especificado,No especificado,No especificado
tt10028030,Nagarsevak - Ek Nayak,Movie,Deepak Kadam,Abhijit Kulkarni,Yogesh Markande,No especificado,4.9,its political journey of Malhar Shinde.
tt10042774,Spider-Man Fan Film - Film Form Studios,Short,Nathan McInnes,Nathan McInnes,Morgan Price,28min,6.7,"Based on the stories by Stan Lee and Steve Ditko - Peter Parker is on a mission to track down the man who murdered his uncle. Now, thanks to a radioactive Spider, Peter has gained extraordinary abilities."
tt10061574,The Case,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10068922,Mirror Mirror,Short,Thevin Kumar,No especificado,No especificado,No especificado,No especificado,No especificado
tt10074884,Winner,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10085248,A World Without Flame,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10106144,The War of Godzilla 2,Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10106644,Instagore,Short,Aiman Samat,No especificado,No especificado,No especificado,No especificado,No especificado
tt10110808,DOJO,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10133528,Khayyum Bhai,Movie,Bharat Parepalli,Mouni,Taraka Ratna Nandamuri,2h 4min,No especificado,"Khayyum Bhai (Ram Babu) joins people's war gang in his teenage and develops ego clashes with them. To take revenge, he becomes a police informer and starts doing illegal activities by using his cop background. How did the authorities put an end to his empire is the rest of the story."
tt10022382,Excalibur Too,Short,Patrick Cloninger,No especificado,No especificado,No especificado,No especificado,No especificado
tt10038742,Lunacy,Short,Carl Abrahamsson,No especificado,No especificado,No especificado,No especificado,No especificado
tt10054268,It's Lonely Down Here,Short,Kreigh Carter,No especificado,No especificado,No especificado,No especificado,No especificado
tt10054752,Hannah,Short,Anh Be,No especificado,No especificado,No especificado,No especificado,No especificado
tt10077598,The Girl From Future,Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10079878,Leveler,Short,Eric Warwaruk,No especificado,No especificado,No especificado,No especificado,No especificado
tt10102186,Halloween Metal Detecting,Short,Billy Bob Vlogs,Johanna Anne Valentine,Billy Bob Vlogs,5min,No especificado,
tt10100980,Cheetah Run,Short,Tom Beaver,No especificado,No especificado,No especificado,No especificado,No especificado
tt10103384,Through the Pages,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10111472,SOL: Soldier of Love,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10121742,Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime,Short,Kenji Kamiyama,Harumi Doki,Kenji Kamiyama,25min,5.9,"The story centers on the adventure of Ancien, a girl that keeps appearing in Kokone's dreams. The story of the dream is one that Kokone's father told her as a mysterious fairy tale when she was little."
tt10131136,Lords of the Table,Short,Tommy Nickel,No especificado,No especificado,No especificado,No especificado,No especificado
tt10147270,"Ni hao, xi xue gui xiao jie",Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt0112502,Bigfoot,Movie,Mc Jones,No especificado,No especificado,No especificado,No especificado,No especificado
tt0339736,The Evil Within,Movie,Andrew Getty,No especificado,No especificado,No especificado,No especificado,No especificado
tt0451201,Sludge,Movie,Steve Taylor,Steve Taylor,Rahul Chatterjee,1h 35min,2.6,A geology field trip into the remote Bear Claw wilderness area turns into a nightmare for a group of college students as they find themselves prey to a viscous man-beast the locals call The Shadow of Death.
tt10028240,Kyodai,Movie,Evann Rodriguez,No especificado,No especificado,No especificado,No especificado,No especificado
tt10033410,Asylum,Short,Brent Laderoute,No especificado,No especificado,No especificado,No especificado,No especificado
